# q, m1_MSolar, m2_MJ, P
0.002, 0.86, 42.9, 1.0
0.029, 1.07, 31.8, 1.0
0.0473, 0.82, 41.0, 1.0
0.050, 0.64, 34.0, 1.0
0.063, 0.72, 47.0, 1.0
0.064, 0.32, 21.0, 1.0
0.074, 0.74, 58.0, 1.0
0.083, 0.73, 64.0, 1.0
0.086, 0.21, 19.0, 1.0
0.096, 0.29, 29.0, 1.0
0.097, 0.40, 40.0, 1.0
0.099, 0.54, 56.0, 1.0
0.100, 0.6, 59.0, 1.0
0.103, 0.48, 52.0, 1.0
0.103, 0.75, 75.0, 1.0
0.111, 0.68, 79.0, 1.0
0.115, 0.74, 89.0, 1.0
0.121, 0.18, 21.0, 1.0
0.130, 0.10, 13.0, 1.0
0.134, 0.14, 20.0, 1.0
0.140, 0.19, 28.0, 0.25
0.140, 0.29, 44.0, 0.25
0.153, 0.13, 21.0, 1.0
0.190, 0.19, 37.7, 1.0
0.222, 0.18, 42.0, 0.25
0.222, 0.28, 64.0, 0.25
0.260, 0.12, 43.5, 1.0
0.270, 0.18, 53.0, 1.0
0.330, 0.13, 42.0, 0.5
0.510, 0.10, 51.0, 1.0
0.891, 0.10, 94.0, 1.0
