# q, m2_ME, m2_MJ, P, theta_E_uas, mu_rel, t_E, u0, rho, eventID, adsurl 
0.0, 22, 0.07, 1.0, 4.73, 5.50, 0.315, 0.208, 1.08,  MOA-9y-770, https://ui.adsabs.harvard.edu/abs/2023AJ....166..107K
0.0, 0.75, 0.002, 0.5, 0.9, 6.15, 0.057, 0.57, 1.40, MOA-9y-5919, https://ui.adsabs.harvard.edu/abs/2023AJ....166..107K
0.0, 0.37, 0.001, 0.5, 0.9, 6.15, 0.057, 0.57, 1.40, MOA-9y-5919, https://ui.adsabs.harvard.edu/abs/2023AJ....166..107K
0.0, 12, 0.038, 1.0, 2.37, 2.37, 0.155, 0.63, 5.03, OGLE-2012-BLG-1323, https://ui.adsabs.harvard.edu/abs/2019A&A...622A.201M
0.0, 30, 0.094, 1.0, 2.37, 2.37, 0.155, 0.63, 5.03, OGLE-2012-BLG-1323, https://ui.adsabs.harvard.edu/abs/2019A&A...622A.201M
0.0, 8, 0.025, 0.5, 4.35, 4.17, 0.381, 3.02, 4.49, OGLE-2019-BLG-0551, https://ui.adsabs.harvard.edu/abs/2020AJ....159..262M
0.0, 80, 0.25, 0.5, 4.35, 4.17, 0.381, 3.02, 4.49, OGLE-2019-BLG-0551, https://ui.adsabs.harvard.edu/abs/2020AJ....159..262M
0.0, 480, 1.5, 0.5, 9.2, 10.5, 0.320, 0.53, 1.65, OGLE-2016-BLG-1540, https://ui.adsabs.harvard.edu/abs/2018AJ....155..121M
0.0, 640, 2.0, 0.5, 9.2, 10.5, 0.320, 0.53, 1.65, OGLE-2016-BLG-1540, https://ui.adsabs.harvard.edu/abs/2018AJ....155..121M
0.0, 0.65, 0.002, 1.0, 0.84, 10.6, 0.029, 0.59, 3.39, OGLE-2016-BLG-1928, https://ui.adsabs.harvard.edu/abs/2020ApJ...903L..11M
0.0, 60, 0.19, 1.0, 4.8, 6.4, 0.272, 0.163, 1.138, KMT-2019-BLG-2073, https://ui.adsabs.harvard.edu/abs/2021AJ....162...15K
0.0, 90, 0.28, 1.0, 5.9, 8.0, 0.27, 0.30, 1.19, KMT-2017-BLG-2820, https://ui.adsabs.harvard.edu/abs/2021AJ....161..126R
